"
Bayern München
","
Wolfsburg
"
Starting XI
1,M. Neuer,[],1,D. Benaglio,[]
21,P. Lahm,[],31,R. Knoche,[]
27,D. Alaba,[],34,R. Rodríguez,[]
18,Juan Bernat,[],4,M. Schäfer,"[('sub-out', ""22'"")]"
8,Javi Martínez,[],5,J. Bruma,[]
7,F. Ribéry,"[('sub-out', ""77'"")]",23,J. Guilavogui,[]
23,A. Vidal,"[('sub-out', ""71'"")]",13,Y. Gerhardt,[]
6,Thiago Alcântara,"[('yellow-card', ""25'""), ('sub-out', ""81'"")]",14,J. Błaszczykowski,"[('sub-out', ""83'"")]"
10,A. Robben,[],7,D. Caligiuri,[]
9,R. Lewandowski,[],33,M. Gómez,[]
25,T. Müller,[],17,Borja Mayoral,"[('sub-out', ""61'"")]"
