"
Hertha BSC
","
Werder Bremen
"
Starting XI
22,R. Jarstein,[],33,J. Drobný,[]
2,P. Pekarík,"[('sub-out', ""71'"")]",26,L. Sané,[]
15,S. Langkamp,"[('sub-out', ""20'"")]",18,N. Moisander,[]
21,M. Plattenhardt,[],2,S. García,"[('sub-out', ""78'"")]"
5,N. Stark,[],4,R. Bauer,[]
28,F. Lustenberger,[],44,P. Bargfrede,"[('yellow-card', ""62'"")]"
6,V. Darida,[],29,S. Gnabry,"[('sub-out', ""88'"")]"
3,P. Skjelbred,[],22,F. Bartels,[]
7,A. Esswein,"[('sub-out', ""57'"")]",8,C. Fritz,"[('yellow-card', ""64'"")]"
19,V. Ibišević,[],10,M. Kruse,"[('yellow-card', ""81'""), ('sub-out', ""84'"")]"
8,S. Kalou,[],14,C. Pizarro,[]
