"
Hamburger SV","
Augsburg"
Starting XI
31,C. Mathenia,[],35,M. Hitz,[]
2,D. Diekmeier,[],31,P. Max,"[('sub-out', ""69'"")]"
28,G. Jung,[],3,K. Stafylidis,"[('yellow-card', ""74'""), ('sub-out', ""82'"")]"
5,J. Djourou,"[('yellow-card', ""62'"")]",16,C. Janker,[]
6,Douglas Santos,[],36,M. Hinteregger,"[('yellow-card', ""23'"")]"
24,G. Sakai,[],2,P. Verhaegh,[]
22,M. Ostrzolek,[],7,Halil Altıntop,"[('sub-out', ""69'"")]"
11,M. Gregoritsch,"[('sub-out', ""67'"")]",10,D. Baier,[]
8,L. Holtby,"[('red-card', ""44'"")]",21,D. Kohr,"[('yellow-card', ""57'""), ('sec-yellow-card', ""66'"")]"
27,N. Müller,"[('sub-out', ""89'"")]",11,J. Schmid,"[('yellow-card', ""46'"")]"
17,F. Kostić,"[('sub-out', ""85'"")]",22,Dong-Won Ji,[]
