"
Darmstadt 98","
Bayern München
"
Starting XI
31,M. Esser,[],1,M. Neuer,[]
32,F. Holland,[],13,Rafinha,[]
17,S. Sirigu,[],5,M. Hummels,"[('yellow-card', ""75'"")]"
4,A. Sulu,[],27,D. Alaba,[]
7,A. Fedetskiy,[],11,Douglas Costa,"[('sub-out', ""90'+"")]"
18,P. Niemeyer,"[('sub-out', ""78'"")]",6,Thiago Alcântara,[]
10,J. Rosenthal,"[('yellow-card', ""43'""), ('sub-out', ""65'"")]",23,A. Vidal,"[('sub-out', ""69'"")]"
20,M. Heller,[],8,Javi Martínez,[]
8,J. Gondorf,[],14,Xabi Alonso,"[('yellow-card', ""75'"")]"
6,M. Vrančić,[],9,R. Lewandowski,[]
39,S. Schipplock,"[('sub-out', ""90'+"")]",25,T. Müller,"[('sub-out', ""80'"")]"
