"
RB Leipzig
","
Hertha BSC
"
Starting XI
32,P. Gulácsi,[],22,R. Jarstein,[]
23,M. Halstenberg,"[('sub-out', ""67'"")]",28,F. Lustenberger,"[('yellow-card', ""78'"")]"
4,W. Orban,[],5,N. Stark,"[('yellow-card', ""73'"")]"
8,N. Keïta,"[('sub-out', ""46'"")]",21,M. Plattenhardt,[]
13,S. Ilsanker,[],23,M. Weiser,"[('sub-out', ""11'"")]"
31,D. Demme,[],20,Allan,[]
3,Bernardo,[],24,G. Haraguchi,"[('sub-out', ""79'"")]"
7,M. Sabitzer,[],13,J. Hegeler,[]
11,T. Werner,"[('yellow-card', ""59'""), ('sub-out', ""84'"")]",8,S. Kalou,"[('sub-out', ""46'"")]"
10,E. Forsberg,[],19,V. Ibišević,[]
9,Y. Poulsen,[],16,J. Schieber,[]
