"
Schalke 04
","
Ingolstadt
"
Starting XI
1,R. Fährmann,[],35,M. Hansen,[]
4,B. Höwedes,[],33,F. Hadergjonaj,[]
31,M. Nastasić,"[('yellow-card', ""79'"")]",29,M. Suttner,[]
29,Naldo,[],18,R. Brégerie,[]
6,S. Kolašinac,[],34,M. Matip,[]
15,D. Aogo,"[('sub-out', ""85'"")]",10,P. Groß,"[('sub-out', ""75'"")]"
5,J. Geis,"[('sub-out', ""46'"")]",8,Roger,[]
21,A. Schöpf,[],6,A. Morales,[]
7,M. Meyer,"[('sub-out', ""67'"")]",36,A. Cohen,[]
8,L. Goretzka,[],11,D. Lezcano,"[('sub-out', ""90'+"")]"
13,E. Choupo-Moting,[],7,M. Leckie,[]
