"
Augsburg
","
Hoffenheim
"
Starting XI
35,M. Hitz,[],1,O. Baumann,[]
2,P. Verhaegh,[],25,N. Süle,"[('yellow-card', ""36'"")]"
3,K. Stafylidis,"[('yellow-card', ""10'""), ('sub-out', ""64'"")]",21,B. Hübner,[]
36,M. Hinteregger,[],30,P. Ochs,"[('yellow-card', ""21'""), ('sub-out', ""46'"")]"
6,J. Gouweleeuw,[],6,S. Rudy,[]
31,P. Max,[],18,N. Amiri,"[('sub-out', ""87'"")]"
14,J. Morávek,"[('sub-out', ""74'"")]",17,S. Zuber,[]
11,J. Schmid,[],22,K. Vogt,[]
19,Ja-Cheol Koo,"[('yellow-card', ""39'""), ('sub-out', ""46'"")]",13,K. Demirbay,"[('yellow-card', ""15'""), ('sub-out', ""74'"")]"
10,D. Baier,[],19,M. Uth,[]
22,Dong-Won Ji,[],14,S. Wagner,[]
