"
Bayer Leverkusen
","
Borussia M'gladbach"
Starting XI
1,B. Leno,[],1,Y. Sommer,[]
4,J. Tah,[],24,T. Jantschke,[]
21,Ö. Toprak,[],17,O. Wendt,[]
18,Wendell,[],3,A. Christensen,[]
44,K. Kampl,[],4,J. Vestergaard,[]
38,K. Bellarabi,"[('sub-out', ""77'"")]",23,J. Hofmann,"[('sub-out', ""90'"")]"
39,B. Henrichs,"[('sub-out', ""65'"")]",8,M. Dahoud,[]
20,C. Aránguiz,"[('sub-out', ""66'"")]",6,C. Kramer,[]
10,H. Çalhanoğlu,[],13,L. Stindl,[]
7,J. Hernández,[],11,Raffael,"[('sub-out', ""85'"")]"
19,J. Brandt,[],10,T. Hazard,"[('sub-out', ""70'"")]"
