"
Wolfsburg
","
Augsburg
"
Starting XI
1,D. Benaglio,[],35,M. Hitz,[]
34,R. Rodríguez,[],32,R. Framberger,[]
5,J. Bruma,[],36,M. Hinteregger,[]
10,Y. Mallı,"[('sub-out', ""72'"")]",6,J. Gouweleeuw,[]
23,J. Guilavogui,"[('sub-out', ""80'"")]",31,P. Max,"[('yellow-card', ""9'"")]"
30,P. Seguin,[],39,T. Usami,"[('sub-out', ""62'"")]"
22,Luiz Gustavo,"[('yellow-card', ""89'"")]",7,Halil Altıntop,[]
13,Y. Gerhardt,[],19,Ja-Cheol Koo,"[('yellow-card', ""83'"")]"
8,Vieirinha,"[('yellow-card', ""68'""), ('sub-out', ""72'"")]",14,J. Morávek,"[('sub-out', ""40'"")]"
33,M. Gómez,[],22,Dong-Won Ji,[]
9,P. Ntep,[],25,R. Bobadilla,"[('sub-out', ""88'"")]"
