"
Werder Bremen
","
Bayern München
"
Starting XI
42,F. Wiedwald,[],1,M. Neuer,[]
2,S. García,"[('yellow-card', ""72'""), ('sub-out', ""81'"")]",5,M. Hummels,[]
18,N. Moisander,[],27,D. Alaba,[]
26,L. Sané,[],21,P. Lahm,[]
4,R. Bauer,"[('yellow-card', ""42'""), ('sub-out', ""71'"")]",14,Xabi Alonso,[]
6,T. Delaney,[],7,F. Ribéry,"[('sub-out', ""79'"")]"
29,S. Gnabry,[],10,A. Robben,"[('sub-out', ""66'"")]"
13,M. Veljkovic,[],32,J. Kimmich,[]
16,Z. Junuzović,"[('yellow-card', ""75'"")]",8,Javi Martínez,[]
14,C. Pizarro,"[('sub-out', ""19'"")]",25,T. Müller,"[('sub-out', ""62'"")]"
10,M. Kruse,[],9,R. Lewandowski,[]
