"
Borussia M'gladbach
","
Freiburg
"
Starting XI
1,Y. Sommer,[],1,A. Schwolow,[]
17,O. Wendt,[],4,C. Söyüncü,[]
3,A. Christensen,[],5,M. Gulde,[]
24,T. Jantschke,[],17,L. Kübler,"[('sub-out', ""83'"")]"
4,J. Vestergaard,[],30,C. Günter,"[('yellow-card', ""56'"")]"
6,C. Kramer,[],8,M. Frantz,[]
8,M. Dahoud,[],6,A. Abrashi,"[('sub-out', ""87'"")]"
28,A. Hahn,"[('sub-out', ""65'"")]",19,J. Haberer,[]
13,L. Stindl,"[('yellow-card', ""56'""), ('sub-out', ""88'"")]",32,V. Grifo,[]
11,Raffael,"[('sub-out', ""90'"")]",7,F. Niederlechner,"[('sub-out', ""83'"")]"
10,T. Hazard,[],18,N. Petersen,[]
