"
Mainz 05","
Werder Bremen
"
Starting XI
1,J. Lössl,[],42,F. Wiedwald,"[('yellow-card', ""90'+"")]"
2,G. Donati,"[('yellow-card', ""39'""), ('sub-out', ""84'"")]",4,R. Bauer,[]
16,S. Bell,[],26,L. Sané,[]
18,D. Brosinski,[],18,N. Moisander,[]
17,Jairo Samperio,"[('yellow-card', ""56'"")]",23,T. Gebre Selassie,"[('yellow-card', ""44'"")]"
22,André Ramalho,[],8,C. Fritz,"[('yellow-card', ""76'"")]"
8,L. Öztunali,"[('sub-out', ""46'"")]",29,S. Gnabry,"[('sub-out', ""76'"")]"
6,D. Latza,"[('yellow-card', ""50'"")]",6,T. Delaney,"[('sub-out', ""54'"")]"
25,J. Gbamin,[],22,F. Bartels,[]
15,J. Córdoba,[],16,Z. Junuzović,"[('yellow-card', ""25'""), ('sub-out', ""89'"")]"
10,Bojan,"[('sub-out', ""58'"")]",10,M. Kruse,[]
