"
Eintracht Frankfurt
","
Borussia M'gladbach
"
Starting XI
1,L. Hradecky,[],1,Y. Sommer,[]
33,T. Tawatha,"[('sub-out', ""76'"")]",3,A. Christensen,[]
6,B. Oczipka,[],24,T. Jantschke,"[('sub-out', ""46'"")]"
19,D. Abraham,[],4,J. Vestergaard,[]
22,T. Chandler,"[('yellow-card', ""83'"")]",17,O. Wendt,"[('yellow-card', ""78'"")]"
5,Jesús Vallejo,"[('yellow-card', ""21'"")]",5,T. Strobl,"[('yellow-card', ""56'""), ('sec-yellow-card', ""85'"")]"
11,M. Gaćinović,"[('sub-out', ""90'"")]",23,J. Hofmann,"[('sub-out', ""68'"")]"
39,Omar Mascarell,"[('yellow-card', ""43'"")]",8,M. Dahoud,[]
10,M. Fabián,[],10,T. Hazard,"[('sub-out', ""81'"")]"
31,B. Hrgota,"[('yellow-card', ""89'"")]",13,L. Stindl,[]
17,A. Rebić,"[('sub-out', ""68'"")]",11,Raffael,[]
