"
Hamburger SV
","
Hoffenheim
"
Starting XI
31,C. Mathenia,[],1,O. Baumann,[]
13,M. Mavraj,[],21,B. Hübner,"[('yellow-card', ""82'"")]"
9,K. Papadopoulos,"[('yellow-card', ""68'"")]",4,E. Bičakčić,"[('sub-out', ""78'"")]"
24,G. Sakai,[],25,N. Süle,[]
22,M. Ostrzolek,[],16,P. Schwegler,[]
2,D. Diekmeier,"[('yellow-card', ""82'"")]",6,S. Rudy,"[('yellow-card', ""32'""), ('sub-out', ""46'"")]"
14,A. Hunt,"[('sub-out', ""90'+"")]",22,K. Vogt,[]
8,L. Holtby,[],17,S. Zuber,"[('yellow-card', ""62'"")]"
12,Walace,"[('yellow-card', ""51'"")]",27,A. Kramarić,"[('yellow-card', ""36'"")]"
17,F. Kostić,"[('yellow-card', ""40'""), ('sub-out', ""81'"")]",23,M. Terrazzino,"[('sub-out', ""61'"")]"
7,B. Wood,"[('sub-out', ""85'"")]",14,S. Wagner,[]
