"
Freiburg
","
Mainz 05
"
Starting XI
1,A. Schwolow,[],33,J. Huth,[]
20,M. Kempf,[],42,A. Hack,[]
4,C. Söyüncü,[],2,G. Donati,[]
2,A. Ignjovski,[],16,S. Bell,"[('yellow-card', ""39'"")]"
17,L. Kübler,[],18,D. Brosinski,[]
32,V. Grifo,"[('sub-out', ""90'+"")]",22,André Ramalho,"[('yellow-card', ""59'""), ('sub-out', ""59'"")]"
8,M. Frantz,"[('sub-out', ""69'"")]",6,D. Latza,"[('yellow-card', ""89'"")]"
23,J. Schuster,[],8,L. Öztunali,"[('sub-out', ""82'"")]"
6,A. Abrashi,[],9,Y. Muto,[]
19,J. Haberer,"[('sub-out', ""84'"")]",32,P. De Blasis,"[('sub-out', ""82'"")]"
7,F. Niederlechner,[],15,J. Córdoba,[]
