"
Borussia Dortmund
","
Eintracht Frankfurt
"
Starting XI
38,R. Bürki,[],1,L. Hradecky,[]
29,M. Schmelzer,[],29,A. Ordóñez,"[('sub-out', ""56'"")]"
26,Ł. Piszczek,[],5,Jesús Vallejo,[]
25,S. Papastathopoulos,[],6,B. Oczipka,[]
23,S. Kagawa,[],22,T. Chandler,[]
22,C. Pulisic,[],19,D. Abraham,[]
6,S. Bender,"[('sub-out', ""46'"")]",39,Omar Mascarell,[]
33,J. Weigl,"[('sub-out', ""77'"")]",11,M. Gaćinović,[]
8,N. Şahin,[],10,M. Fabián,[]
11,M. Reus,"[('sub-out', ""46'"")]",31,B. Hrgota,"[('sub-out', ""81'"")]"
17,P. Aubameyang,[],24,M. Wolf,"[('sub-out', ""71'"")]"
