"
Darmstadt 98
","
Schalke 04
"
Starting XI
31,M. Esser,"[('yellow-card', ""89'"")]",1,R. Fährmann,[]
4,A. Sulu,[],20,T. Kehrer,"[('yellow-card', ""69'""), ('red-card', ""81'"")]"
17,S. Sirigu,"[('yellow-card', ""39'""), ('sub-out', ""46'"")]",15,D. Aogo,[]
32,F. Holland,"[('yellow-card', ""63'"")]",24,H. Badstuber,[]
26,P. Banggaard,"[('yellow-card', ""83'"")]",23,Coke,[]
36,W. Kamavuaka,"[('sub-out', ""77'"")]",5,J. Geis,"[('sub-out', ""67'"")]"
34,Hamit Altıntop,"[('yellow-card', ""54'"")]",18,D. Caligiuri,"[('sub-out', ""81'"")]"
8,J. Gondorf,[],7,M. Meyer,"[('yellow-card', ""72'"")]"
6,M. Vrančić,[],8,L. Goretzka,[]
20,M. Heller,[],33,D. Avdijaj,"[('sub-out', ""55'"")]"
19,F. Platte,"[('sub-out', ""66'"")]",19,G. Burgstaller,[]
