"
Hoffenheim
","
Borussia M'gladbach
"
Starting XI
1,O. Baumann,[],1,Y. Sommer,[]
21,B. Hübner,"[('yellow-card', ""30'""), ('sub-out', ""85'"")]",30,N. Elvedi,"[('yellow-card', ""45'+"")]"
15,J. Toljan,[],17,O. Wendt,[]
25,N. Süle,[],3,A. Christensen,"[('yellow-card', ""48'"")]"
22,K. Vogt,"[('yellow-card', ""64'"")]",4,J. Vestergaard,[]
13,K. Demirbay,[],5,T. Strobl,"[('sub-out', ""85'"")]"
17,S. Zuber,[],16,I. Traoré,"[('sub-out', ""74'"")]"
6,S. Rudy,[],23,J. Hofmann,[]
27,A. Kramarić,[],8,M. Dahoud,"[('yellow-card', ""63'"")]"
28,Á. Szalai,"[('sub-out', ""74'"")]",28,A. Hahn,"[('sub-out', ""74'"")]"
14,S. Wagner,"[('sub-out', ""63'"")]",13,L. Stindl,"[('yellow-card', ""26'"")]"
