"
Málaga
","
Deportivo La Coruña
"
Starting XI
1,C. Kameni,[],13,P. Tytoń,[]
18,R. Rosales,[],12,Sidnei,[]
15,F. Ricca,[],16,Luisinho,"[('yellow-card', ""10'"")]"
23,Miguel Torres,[],6,Albentosa,[]
4,M. Villanueva,[],21,Bruno Gama,[]
10,J. Añor,"[('yellow-card', ""76'"")]",2,Juanfran,[]
31,Pablo Fornals,"[('sub-out', ""87'"")]",22,C. Borges,[]
11,G. Castro,[],20,Guilherme,"[('sub-out', ""90'+"")]"
6,Ignacio Camacho,"[('yellow-card', ""78'"")]",19,F. Fajr,"[('sub-out', ""68'"")]"
19,Sandro Ramírez,"[('sub-out', ""54'"")]",10,F. Andone,[]
8,Michael Santos,"[('sub-out', ""73'"")]",9,M. Moreno,"[('sub-out', ""90'"")]"
