"
Athletic Club
","
Eibar
"
Starting XI
26,Kepa,[],13,Asier Riesgo,[]
27,Yeray Álvarez,[],18,Arbilla,"[('yellow-card', ""61'"")]"
6,San José,"[('yellow-card', ""81'"")]",3,Alejandro Gálvez,"[('yellow-card', ""41'"")]"
4,A. Laporte,[],19,Luna,[]
2,Bóveda,[],20,F. Lejeune,[]
24,Balenziaga,[],14,Dani García,[]
7,Beñat,[],24,Adrián ,"[('sub-out', ""60'"")]"
14,Susaeta,"[('sub-out', ""65'"")]",21,Pedro León,"[('yellow-card', ""42'"")]"
10,Muniain,[],16,Fran Rico,"[('sub-out', ""86'"")]"
19,Sabin ,"[('sub-out', ""75'"")]",8,T. Inui,"[('yellow-card', ""30'""), ('sub-out', ""83'"")]"
11,Iñaki Williams,"[('sub-out', ""85'"")]",9,Sergi Enrich,[]
