"
Sporting Gijón
","
Osasuna
"
Starting XI
1,Pichu Cuéllar,[],13,Nauzet Pérez,[]
2,Douglas Pereira,"[('yellow-card', ""68'"")]",33,Iván Márquez,"[('yellow-card', ""39'"")]"
4,Jorge Meré,[],6,Oier,[]
16,Lillo Castellano,[],4,Miguel Flaño,[]
5,F. Amorebieta,"[('yellow-card', ""37'"")]",21,Carlos Clerc,[]
23,Moi Gómez,"[('sub-out', ""79'"")]",20,De las Cuevas,[]
6,Sergio Álvarez,[],31,Imanol García,[]
18,Isma López,[],8,G. Čaušić,[]
8,R. Aït-Atmane,"[('sub-out', ""69'"")]",10,Roberto Torres,"[('sub-out', ""58'"")]"
19,Carlos Carmona,[],19,Kenan,"[('sub-out', ""46'"")]"
24,D. Čop,"[('yellow-card', ""67'""), ('sub-out', ""81'"")]",9,Oriol Riera,[]
