"
Barcelona
","
Real Madrid
"
Starting XI
1,M. ter Stegen,[],1,K. Navas,[]
3,Piqué,[],5,R. Varane,[]
18,Jordi Alba,[],12,Marcelo,[]
14,J. Mascherano,"[('yellow-card', ""89'"")]",4,Sergio Ramos,[]
4,I. Rakitić,"[('sub-out', ""60'"")]",2,Daniel Carvajal,"[('yellow-card', ""80'"")]"
5,Busquets,"[('yellow-card', ""83'"")]",22,Isco,"[('yellow-card', ""13'""), ('sub-out', ""66'"")]"
20,Sergi Roberto,[],19,L. Modrić,[]
21,André Gomes,"[('sub-out', ""78'"")]",16,M. Kovačić,"[('sub-out', ""86'"")]"
11,Neymar,"[('yellow-card', ""28'""), ('sub-out', ""87'"")]",9,K. Benzema,"[('sub-out', ""77'"")]"
9,L. Suárez,"[('yellow-card', ""75'"")]",17,Lucas Vázquez,[]
10,L. Messi,[],7,Cristiano Ronaldo,[]
