"
Granada
","
Sevilla
"
Starting XI
13,G. Ochoa,[],1,Sergio Rico,[]
22,D. Foulquier,[],23,A. Rami,[]
6,Lombán,"[('yellow-card', ""90'+"")]",3,Mariano,[]
20,M. Saunier,[],21,N. Pareja,[]
5,U. Agbo,"[('sub-out', ""77'"")]",24,G. Mercado,"[('sub-out', ""69'"")]"
12,Gabriel Silva,"[('yellow-card', ""34'"")]",20,Vitolo,[]
18,Andreas Pereira,"[('yellow-card', ""28'"")]",15,S. N'Zonzi,[]
16,M. Carcela,"[('yellow-card', ""40'"")]",11,J. Correa,"[('sub-out', ""69'"")]"
4,Sergi Samper,[],4,M. Kranevitter,"[('sub-out', ""55'"")]"
10,J. Boga,"[('sub-out', ""75'"")]",22,F. Vázquez,"[('yellow-card', ""44'"")]"
24,A. Kravets,"[('sub-out', ""86'"")]",9,L. Vietto,[]
