"
Deportivo La Coruña","
Osasuna
"
Starting XI
13,P. Tytoń,[],13,Nauzet Pérez,[]
3,Fernando Navarro,[],3,C. Bonnín,[]
12,Sidnei,[],21,Carlos Clerc,"[('yellow-card', ""79'"")]"
6,Albentosa,[],5,David García,[]
11,Carles Gil,"[('sub-out', ""72'"")]",33,Iván Márquez,"[('yellow-card', ""73'"")]"
8,E. Çolak,[],20,De las Cuevas,"[('yellow-card', ""52'""), ('sub-out', ""72'"")]"
20,Guilherme,[],10,Roberto Torres,[]
22,C. Borges,[],8,G. Čaušić,[]
2,Juanfran,"[('yellow-card', ""66'"")]",18,Fran Mérida,"[('sub-out', ""46'"")]"
10,F. Andone,"[('sub-out', ""80'"")]",11,Álex Berenguer,[]
23,R. Babel,"[('sub-out', ""90'"")]",7,Sergio León,[]
