"
Las Palmas
","
Sporting Gijón
"
Starting XI
13,Javi Varas,[],1,Pichu Cuéllar,[]
3,M. Lemos,[],15,Canella,[]
2,David Simón,[],3,J. Babin,"[('sub-out', ""65'"")]"
17,Bigas,[],2,Douglas Pereira,[]
23,Dani Castellano,[],4,Jorge Meré,"[('yellow-card', ""85'"")]"
21,Jonathan Viera,[],16,Lillo Castellano,"[('yellow-card', ""88'"")]"
15,Roque Mesa,[],6,Sergio Álvarez,[]
7,K. Boateng,"[('sub-out', ""89'"")]",7,Víctor Rodríguez,[]
4,Vicente Gómez,[],21,Xavi Torres,"[('yellow-card', ""60'"")]"
19,M. García,"[('sub-out', ""69'"")]",24,D. Čop,"[('sub-out', ""60'"")]"
8,N. El Zhar,"[('sub-out', ""78'"")]",19,Carlos Carmona,"[('sub-out', ""75'"")]"
