"
Deportivo La Coruña
","
Villarreal
"
Starting XI
13,P. Tytoń,[],1,Sergio Asenjo,[]
14,Alejandro Arribas,[],2,Mario Gaspar,[]
3,Fernando Navarro,[],12,Álvaro González,[]
16,Luisinho,[],3,José Ángel,[]
15,Laure,[],6,Víctor Ruíz,[]
12,Sidnei,[],14,Trigueros,"[('yellow-card', ""79'"")]"
20,Guilherme,[],21,Bruno,[]
22,C. Borges,[],19,Samu Castillejo,[]
8,E. Çolak,[],8,J. dos Santos,[]
10,F. Andone,"[('sub-out', ""83'"")]",10,Alexandre Pato,"[('sub-out', ""85'"")]"
9,M. Moreno,"[('sub-out', ""76'"")]",24,R. Borré,"[('sub-out', ""68'"")]"
