"
Valencia
","
Espanyol
"
Starting XI
1,Diego Alves,"[('yellow-card', ""75'"")]",13,Diego López,[]
24,E. Garay,[],6,Ó. Duarte,[]
14,José Gayá,"[('yellow-card', ""57'"")]",29,Aaron Martín,[]
4,Aderllan Santos,"[('sub-out', ""89'"")]",23,D. Reyes,[]
21,Martín Montoya,[],14,José Jurado,[]
10,Dani Parejo,"[('yellow-card', ""56'"")]",18,Javi Fuego,[]
28,Carlos Soler,"[('yellow-card', ""54'"")]",15,David López,[]
17,Nani,[],8,Salva Sevilla,"[('sub-out', ""69'"")]"
8,E. Pérez,[],17,H. Pérez,[]
22,Santi Mina,"[('sub-out', ""90'+"")]",22,Álvaro Vázquez,"[('sub-out', ""54'"")]"
9,Munir,"[('yellow-card', ""59'""), ('sub-out', ""66'"")]",7,Gerard Moreno,[]
