"
Deportivo Alavés
","
Leganés
"
Starting XI
1,Fernando Pacheco,[],13,Iago Herrerín,[]
4,Alexis,"[('yellow-card', ""90'+"")]",4,Adrián Marín,[]
5,Laguardia,[],5,M. Mantovani,[]
22,Carlos Vigaray,[],3,Bustinza,[]
15,T. Hernández,"[('yellow-card', ""2'"")]",17,Víctor Díaz,"[('sub-out', ""73'"")]"
6,Marcos Llorente,[],18,Pablo Ínsua,[]
8,Víctor Camarasa,"[('sub-out', ""85'"")]",21,Rubén Pérez,"[('yellow-card', ""90'+"")]"
17,Edgar Méndez,"[('sub-out', ""76'"")]",8,Gabriel,"[('yellow-card', ""83'"")]"
19,Manu García,[],24,Timor,"[('sub-out', ""62'"")]"
11,Ibai Gómez,"[('yellow-card', ""18'""), ('sub-out', ""78'"")]",9,Guerrero,[]
20,Deyverson,[],7,D. Machís,"[('sub-out', ""56'"")]"
