"
Villarreal
","
Granada
"
Starting XI
1,Sergio Asenjo,[],13,G. Ochoa,[]
2,Mario Gaspar,[],20,M. Saunier,"[('sub-out', ""74'"")]"
12,Álvaro González,"[('yellow-card', ""37'"")]",3,G. Silva,"[('yellow-card', ""75'"")]"
23,D. Bonera,[],25,S. Ingason,[]
3,José Ángel,"[('yellow-card', ""88'"")]",22,D. Foulquier,[]
19,Samu Castillejo,"[('sub-out', ""79'"")]",29,M. Hongla,[]
14,Trigueros,[],34,A. Malle,"[('sub-out', ""81'"")]"
20,R. Soriano,"[('yellow-card', ""38'""), ('sub-out', ""63'"")]",19,Isaac Cuenca,[]
8,J. dos Santos,[],4,Sergi Samper,"[('yellow-card', ""48'"")]"
21,Bruno,[],9,E. Ponce,"[('sub-out', ""60'"")]"
18,N. Sansone,"[('sub-out', ""87'"")]",7,A. Ramos,[]
