"
Real Betis
","
Barcelona
"
Starting XI
13,Adán,[],1,M. ter Stegen,[]
21,A. Toșca,[],24,J. Mathieu,[]
14,R. Durmisi,[],3,Piqué,"[('yellow-card', ""43'"")]"
23,A. Mandi,[],19,L. Digne,"[('sub-out', ""68'"")]"
12,C. Piccini,[],7,A. Turan,"[('sub-out', ""68'"")]"
20,G. Pezzella,[],4,I. Rakitić,"[('yellow-card', ""70'"")]"
7,Rubén Pardo,"[('sub-out', ""69'"")]",6,Denis Suárez,"[('sub-out', ""59'"")]"
5,Petros,"[('yellow-card', ""67'""), ('sub-out', ""86'"")]",22,Aleix Vidal,[]
10,Dani Ceballos,[],10,L. Messi,[]
19,Álex Alegría,"[('sub-out', ""85'"")]",9,L. Suárez,[]
24,Rubén Castro,"[('yellow-card', ""78'"")]",11,Neymar,[]
