"
Atlético Madrid
","
Leganés
"
Starting XI
1,Moyà,[],13,Iago Herrerín,[]
15,S. Savić,"[('yellow-card', ""32'"")]",15,Diego Rico,[]
2,D. Godín,[],3,Bustinza,[]
3,Filipe Luis,[],17,Víctor Díaz,"[('sub-out', ""72'"")]"
20,Juanfran,[],18,Pablo Ínsua,[]
14,Gabi,[],22,D. Siovas,[]
6,Koke,[],11,A. Szymanowski,[]
23,N. Gaitán,"[('sub-out', ""57'"")]",19,Unai López,"[('sub-out', ""63'"")]"
8,Saúl,"[('sub-out', ""46'"")]",12,Erik Morán,"[('yellow-card', ""30'""), ('sub-out', ""77'"")]"
9,Fernando Torres,[],10,Bueno,[]
7,A. Griezmann,"[('sub-out', ""73'"")]",9,Guerrero,[]
