"
Eibar
","
Real Madrid
"
Starting XI
1,Yoel,[],1,K. Navas,[]
19,Luna,"[('sub-out', ""55'"")]",3,Pepe,[]
7,Ander Capa,[],6,Nacho,"[('yellow-card', ""62'"")]"
15,M. Dos Santos,[],4,Sergio Ramos,[]
4,Ramis,[],23,Danilo,[]
5,G. Escalante,"[('yellow-card', ""32'"")]",19,L. Modrić,"[('sub-out', ""71'"")]"
11,Rubén Peña,[],10,J. Rodríguez,"[('sub-out', ""75'"")]"
24,Adrián ,"[('sub-out', ""63'"")]",14,Casemiro,[]
14,Dani García,[],20,Marco Asensio,[]
21,Pedro León,"[('sub-out', ""87'"")]",9,K. Benzema,"[('sub-out', ""65'"")]"
9,Sergi Enrich,[],17,Lucas Vázquez,[]
