"
Leganés
","
Granada
"
Starting XI
13,Iago Herrerín,[],13,G. Ochoa,[]
5,M. Mantovani,[],23,Litri,[]
3,Bustinza,[],17,Rúben Vezo,[]
15,Diego Rico,"[('yellow-card', ""90'"")]",25,S. Ingason,[]
22,D. Siovas,"[('yellow-card', ""90'"")]",6,Lombán,"[('sub-out', ""86'"")]"
8,Gabriel,[],18,Andreas Pereira,"[('sub-out', ""72'"")]"
21,Rubén Pérez,[],8,M. Wakaso,"[('yellow-card', ""64'"")]"
11,A. Szymanowski,"[('sub-out', ""64'"")]",4,Sergi Samper,[]
12,Erik Morán,"[('yellow-card', ""82'""), ('sub-out', ""90'"")]",16,M. Carcela,"[('yellow-card', ""44'""), ('sub-out', ""59'"")]"
25,N. El Zhar,[],19,Isaac Cuenca,[]
9,Guerrero,"[('sub-out', ""77'"")]",7,A. Ramos,[]
