"
Celta de Vigo
","
Villarreal
"
Starting XI
1,Sergio Álvarez,[],13,Andrés Fernández,"[('yellow-card', ""72'"")]"
24,F. Roncaglia,[],6,Víctor Ruíz,[]
21,Planas,"[('yellow-card', ""90'"")]",5,M. Musacchio,"[('yellow-card', ""87'"")]"
20,Sergi Gómez,"[('sub-out', ""82'"")]",11,Jaume Costa,"[('yellow-card', ""73'"")]"
2,Hugo Mallo,"[('yellow-card', ""14'"")]",2,Mario Gaspar,[]
5,M. Díaz,[],14,Trigueros,[]
16,Jozabed ,[],21,Bruno,[]
6,N. Radoja,"[('sub-out', ""69'"")]",20,R. Soriano,"[('sub-out', ""89'"")]"
17,A. Hjulsager,"[('sub-out', ""59'"")]",8,J. dos Santos,"[('yellow-card', ""85'"")]"
25,G. Rossi,[],17,C. Bakambu,"[('sub-out', ""81'"")]"
7,T. Bongonda,"[('yellow-card', ""90'+"")]",9,Soldado,"[('yellow-card', ""8'""), ('sub-out', ""71'"")]"
