"
Osasuna
","
Athletic Club
"
Starting XI
25,S. Sirigu,[],26,Kepa,[]
6,Oier,"[('yellow-card', ""60'"")]",6,San José,[]
21,Carlos Clerc,"[('yellow-card', ""81'"")]",24,Balenziaga,[]
34,Aitor Buñuel,"[('sub-out', ""82'"")]",4,A. Laporte,[]
15,Unai García,[],2,Bóveda,[]
5,David García,[],7,Beñat,"[('sub-out', ""79'"")]"
8,G. Čaušić,[],22,Raúl García,"[('sub-out', ""61'"")]"
20,De las Cuevas,"[('sub-out', ""71'"")]",18,De Marcos,"[('yellow-card', ""84'"")]"
18,Fran Mérida,"[('yellow-card', ""36'"")]",11,Iñaki Williams,[]
12,E. Rivière,[],20,Aduriz,[]
9,Oriol Riera,"[('yellow-card', ""22'""), ('sub-out', ""66'"")]",10,Muniain,"[('yellow-card', ""34'""), ('sub-out', ""69'"")]"
