"
Real Madrid
","
Deportivo Alavés
"
Starting XI
13,Kiko Casilla,[],1,Fernando Pacheco,[]
5,R. Varane,"[('sub-out', ""11'"")]",15,T. Hernández,[]
23,Danilo,[],5,Laguardia,[]
3,Pepe,[],24,Z. Feddal,[]
6,Nacho,[],2,R. Ely,"[('yellow-card', ""17'"")]"
8,T. Kroos,[],8,Víctor Camarasa,"[('sub-out', ""83'"")]"
19,L. Modrić,"[('sub-out', ""68'"")]",17,Edgar Méndez,"[('sub-out', ""75'"")]"
22,Isco,[],19,Manu García,"[('yellow-card', ""87'"")]"
11,G. Bale,[],18,Toquero,[]
9,K. Benzema,"[('sub-out', ""81'"")]",11,Ibai Gómez,"[('sub-out', ""69'"")]"
7,Cristiano Ronaldo,[],20,Deyverson,[]
