"
Real Sociedad
","
Leganés
"
Starting XI
1,G. Rulli,[],13,Iago Herrerín,[]
19,Yuri,[],22,D. Siovas,[]
6,Íñigo Martínez,[],15,Diego Rico,[]
22,Raúl Navas,[],2,Tito,[]
10,Xabi Prieto,[],5,M. Mantovani,"[('yellow-card', ""25'"")]"
27,Igor Zubeldía,"[('sub-out', ""65'"")]",8,Gabriel,"[('yellow-card', ""60'""), ('sub-out', ""71'"")]"
5,Bergara,"[('sub-out', ""76'"")]",21,Rubén Pérez,[]
16,Canales,[],12,Erik Morán,"[('yellow-card', ""90'+"")]"
29,Álvaro Odriozola,[],11,A. Szymanowski,[]
12,Willian José,"[('sub-out', ""78'"")]",16,Samu,"[('sub-out', ""61'"")]"
7,Juanmi,"[('yellow-card', ""17'"")]",9,Guerrero,"[('sub-out', ""84'"")]"
