"
Fiorentina
","
Palermo
"
Starting XI
12,C. Tătărușanu,[],1,J. Posavec,[]
40,N. Tomović,"[('yellow-card', ""51'"")]",89,M. Morganella,"[('yellow-card', ""30'""), ('sub-out', ""66'"")]"
18,C. Salcedo,[],19,H. Aleesami,"[('yellow-card', ""32'"")]"
13,D. Astori,[],97,G. Pezzella,[]
8,M. Vecino,[],15,T. Cionek,[]
72,J. Iličić,"[('sub-out', ""84'"")]",4,S. Anđelković,[]
20,Borja Valero,[],21,R. Quaison,[]
10,F. Bernardeschi,"[('sub-out', ""78'"")]",10,O. Hiljemark,[]
30,K. Babacar,[],28,M. Jajalo,"[('sub-out', ""87'"")]"
9,N. Kalinić,[],18,I. Chochev,[]
16,Cristian Tello,"[('sub-out', ""67'"")]",30,I. Nestorovski,[]
