"
Sampdoria
","
Torino
"
Starting XI
1,C. Puggioni,[],21,J. Hart,[]
19,V. Regini,[],23,A. Barreca,"[('yellow-card', ""58'"")]"
13,Pedro Pereira,[],4,Leandro Castán,[]
37,M. Škriniar,[],7,D. Zappacosta,[]
26,M. Silvestre,[],13,L. Rossettini,"[('yellow-card', ""22'"")]"
10,Bruno Fernandes,"[('sub-out', ""60'"")]",15,M. Benassi,"[('yellow-card', ""58'""), ('sub-out', ""70'"")]"
8,É. Barreto,"[('yellow-card', ""29'"")]",8,D. Baselli,"[('yellow-card', ""72'""), ('sub-out', ""84'"")]"
34,L. Torreira,[],18,M. Valdifiori,[]
18,D. Praet,"[('sub-out', ""83'"")]",10,A. Ljajić,[]
9,L. Muriel,"[('sub-out', ""90'"")]",9,A. Belotti,[]
27,F. Quagliarella,[],14,Iago Falqué,"[('sub-out', ""79'"")]"
