"
Juventus
","
Roma
"
Starting XI
1,G. Buffon,[],1,W. Szczęsny,[]
24,D. Rugani,"[('yellow-card', ""26'"")]",2,A. Rüdiger,"[('yellow-card', ""90'"")]"
12,Alex Sandro,"[('yellow-card', ""78'"")]",44,K. Manolas,"[('sub-out', ""85'"")]"
3,G. Chiellini,[],33,Emerson,[]
26,S. Lichtsteiner,"[('sub-out', ""68'"")]",20,F. Fazio,[]
27,S. Sturaro,"[('yellow-card', ""90'+"")]",8,D. Perotti,[]
5,M. Pjanić,"[('sub-out', ""51'"")]",16,D. De Rossi,"[('yellow-card', ""12'""), ('sub-out', ""72'"")]"
6,S. Khedira,[],30,Gerson,"[('yellow-card', ""28'""), ('sub-out', ""46'"")]"
8,C. Marchisio,[],4,R. Nainggolan,"[('yellow-card', ""89'"")]"
17,M. Mandžukić,[],6,K. Strootman,[]
9,G. Higuaín,"[('sub-out', ""82'"")]",9,E. Džeko,"[('yellow-card', ""16'"")]"
