"
Milan
","
Cagliari
"
Starting XI
99,G. Donnarumma,[],1,Rafael,[]
13,A. Romagnoli,[],2,Bruno Alves,"[('red-card', ""90'+"")]"
20,I. Abate,"[('sub-out', ""27'"")]",23,L. Ceppitelli,[]
29,G. Paletta,[],19,F. Pisacane,[]
2,M. De Sciglio,[],24,M. Capuano,[]
80,M. Pašalić,"[('sub-out', ""79'"")]",8,D. Di Gennaro,[]
5,G. Bonaventura,"[('sub-out', ""65'"")]",4,D. Dessena,"[('sub-out', ""90'+"")]"
73,M. Locatelli,[],18,N. Barella,[]
8,Suso,[],3,M. Isla,"[('yellow-card', ""88'"")]"
70,C. Bacca,[],25,M. Sau,"[('sub-out', ""73'"")]"
11,M. Niang,[],17,Diego Farias,"[('sub-out', ""78'"")]"
