"
Napoli
","
Sampdoria
"
Starting XI
25,Pepe Reina,[],1,C. Puggioni,[]
21,V. Chiricheș,[],13,Pedro Pereira,[]
2,E. Hysaj,"[('yellow-card', ""69'"")]",19,V. Regini,[]
62,L. Tonelli,[],37,M. Škriniar,[]
3,I. Strinić,[],26,M. Silvestre,"[('yellow-card', ""54'""), ('sec-yellow-card', ""61'"")]"
5,Allan,"[('sub-out', ""59'"")]",11,R. Álvarez,[]
8,Jorginho,"[('sub-out', ""71'"")]",34,L. Torreira,[]
17,M. Hamšík,[],18,D. Praet,"[('sub-out', ""76'"")]"
24,L. Insigne,[],8,É. Barreto,[]
7,José Callejón,[],14,P. Schick,"[('sub-out', ""64'"")]"
14,D. Mertens,[],27,F. Quagliarella,"[('sub-out', ""51'"")]"
