"
Sassuolo
","
Torino
"
Starting XI
47,A. Consigli,[],21,J. Hart,[]
15,F. Acerbi,[],24,E. Moretti,"[('sub-out', ""84'"")]"
20,Pol Lirola,[],23,A. Barreca,[]
55,T. Letschert,[],13,L. Rossettini,[]
13,F. Peluso,[],7,D. Zappacosta,[]
12,S. Sensi,[],18,M. Valdifiori,"[('yellow-card', ""76'"")]"
21,A. Aquilani,[],15,M. Benassi,[]
90,A. Ragusa,"[('yellow-card', ""90'+"")]",22,J. Obi,"[('sub-out', ""79'"")]"
16,M. Politano,"[('sub-out', ""72'"")]",14,Iago Falqué,[]
27,F. Ricci,"[('sub-out', ""78'"")]",9,A. Belotti,"[('yellow-card', ""65'"")]"
11,G. Defrel,[],10,A. Ljajić,"[('sub-out', ""68'"")]"
