"
Lazio
","
Atalanta
"
Starting XI
22,F. Marchetti,[],1,E. Berisha,[]
26,Ş. Radu,[],6,E. Zukanović,"[('sub-out', ""78'"")]"
15,Bastos,[],24,A. Conti,"[('yellow-card', ""55'"")]"
3,S. de Vrij,[],5,A. Masiello,[]
16,M. Parolo,"[('yellow-card', ""43'"")]",13,M. Caldara,[]
10,Felipe Anderson,"[('sub-out', ""82'"")]",25,A. Konko,"[('sub-out', ""28'"")]"
19,S. Lulić,"[('yellow-card', ""58'"")]",37,L. Spinazzola,[]
20,L. Biglia,"[('yellow-card', ""87'"")]",11,R. Freuler,[]
21,S. Milinković-Savić,"[('yellow-card', ""88'"")]",27,J. Kurtič,"[('sub-out', ""74'"")]"
18,Luis Alberto,"[('sub-out', ""55'"")]",10,A. Gómez,[]
17,C. Immobile,"[('yellow-card', ""21'""), ('sub-out', ""86'"")]",29,A. Petagna,[]
