"
Atalanta
","
Sampdoria
"
Starting XI
1,E. Berisha,[],1,C. Puggioni,[]
24,A. Conti,"[('sub-out', ""61'"")]",26,M. Silvestre,[]
5,A. Masiello,[],13,Pedro Pereira,"[('yellow-card', ""28'"")]"
95,A. Bastoni,[],20,D. Pavlovic,[]
13,M. Caldara,[],37,M. Škriniar,"[('yellow-card', ""89'"")]"
94,F. Melegoni,"[('sub-out', ""46'"")]",16,K. Linetty,"[('sub-out', ""58'"")]"
37,L. Spinazzola,[],18,D. Praet,"[('sub-out', ""51'"")]"
10,A. Gómez,"[('sub-out', ""88'"")]",10,Bruno Fernandes,"[('sub-out', ""83'"")]"
11,R. Freuler,[],34,L. Torreira,[]
27,J. Kurtič,"[('yellow-card', ""74'"")]",27,F. Quagliarella,[]
29,A. Petagna,[],14,P. Schick,[]
