"
Crotone
","
Empoli
"
Starting XI
1,A. Cordaz,[],28,Ł. Skorupski,[]
13,G. Ferrari,[],6,G. Bellusci,[]
17,F. Ceccherini,"[('yellow-card', ""35'"")]",15,A. Costa,[]
22,A. Rosi,"[('yellow-card', ""63'"")]",13,F. Veseli,[]
18,A. Barberis,"[('sub-out', ""72'"")]",4,F. Dimarco,[]
6,M. Rohdén,[],11,D. Croce,[]
87,B. Martella,[],33,R. Krunić,"[('yellow-card', ""57'"")]"
8,L. Crisetig,[],8,A. El Hadji,[]
11,D. Falcinelli,"[('yellow-card', ""57'"")]",20,M. Pucciarelli,"[('sub-out', ""86'"")]"
12,A. Stoian,"[('sub-out', ""90'+"")]",89,G. Marilungo,"[('sub-out', ""59'"")]"
7,R. Palladino,"[('sub-out', ""77'"")]",9,L. Mchedlidze,"[('sub-out', ""78'"")]"
