"
Udinese","
Milan
"
Starting XI
1,O. Karnezis,[],99,G. Donnarumma,[]
30,Felipe,[],13,A. Romagnoli,"[('yellow-card', ""54'"")]"
5,Danilo,[],29,G. Paletta,[]
3,Samir,"[('yellow-card', ""62'"")]",2,M. De Sciglio,"[('sub-out', ""74'"")]"
6,S. Fofana,"[('sub-out', ""72'"")]",20,I. Abate,[]
14,J. Jankto,[],33,J. Kucka,[]
10,R. de Paul,"[('yellow-card', ""71'""), ('sub-out', ""90'+"")]",73,M. Locatelli,[]
23,E. Hallfreðsson,[],5,G. Bonaventura,"[('sub-out', ""27'"")]"
37,D. Faraoni,"[('sub-out', ""30'"")]",80,M. Pašalić,"[('yellow-card', ""45'+"")]"
9,D. Zapata,[],8,Suso,[]
77,C. Théréau,[],70,C. Bacca,"[('sub-out', ""71'"")]"
