"
Atalanta","
Crotone
"
Starting XI
1,E. Berisha,[],1,A. Cordaz,[]
5,A. Masiello,[],22,A. Rosi,"[('yellow-card', ""28'"")]"
13,M. Caldara,[],17,F. Ceccherini,"[('yellow-card', ""69'"")]"
3,Rafael Tolói,[],3,Claiton,"[('yellow-card', ""45'""), ('sub-out', ""72'"")]"
24,A. Conti,"[('yellow-card', ""78'"")]",13,G. Ferrari,"[('yellow-card', ""58'"")]"
37,L. Spinazzola,[],31,M. Sampirisi,[]
19,F. Kessié,[],8,L. Crisetig,"[('yellow-card', ""66'"")]"
11,R. Freuler,"[('yellow-card', ""52'"")]",27,B. Acosty,"[('sub-out', ""78'"")]"
27,J. Kurtič,[],18,A. Barberis,[]
10,A. Gómez,"[('sub-out', ""90'+"")]",11,D. Falcinelli,[]
29,A. Petagna,[],12,A. Stoian,"[('sub-out', ""62'"")]"
