"
Empoli
","
Lazio
"
Starting XI
28,Ł. Skorupski,[],1,T. Strakosha,[]
21,M. Pasqual,[],8,D. Basta,"[('sub-out', ""86'"")]"
2,V. Laurini,"[('sub-out', ""78'"")]",26,Ş. Radu,"[('sub-out', ""78'"")]"
6,G. Bellusci,[],2,W. Hoedt,[]
15,A. Costa,"[('yellow-card', ""2'"")]",13,Wallace,[]
8,A. El Hadji,"[('yellow-card', ""84'"")]",20,L. Biglia,"[('yellow-card', ""60'"")]"
11,D. Croce,"[('sub-out', ""74'"")]",21,S. Milinković-Savić,"[('sub-out', ""57'"")]"
33,R. Krunić,[],16,M. Parolo,[]
10,O. El Kaddouri,[],19,S. Lulić,[]
20,M. Pucciarelli,[],10,Felipe Anderson,[]
7,M. Maccarone,"[('sub-out', ""72'"")]",17,C. Immobile,[]
