"
Cagliari
","
Internazionale
"
Starting XI
28,Gabriel,[],1,S. Handanovič,[]
19,F. Pisacane,[],25,João Miranda,[]
24,M. Capuano,[],15,C. Ansaldi,"[('sub-out', ""88'"")]"
2,Bruno Alves,[],33,D. D'Ambrosio,[]
18,N. Barella,"[('yellow-card', ""55'""), ('sub-out', ""78'"")]",17,G. Medel,[]
20,S. Padoin,[],19,É. Banega,"[('sub-out', ""76'"")]"
10,João Pedro ,[],5,R. Gagliardini,[]
21,A. Ioniţă,"[('yellow-card', ""72'"")]",7,G. Kondogbia,[]
3,M. Isla,[],9,M. Icardi,[]
8,D. Di Gennaro,"[('sub-out', ""62'"")]",87,A. Candreva,[]
22,M. Borriello,"[('sub-out', ""78'"")]",44,I. Perišić,"[('sub-out', ""73'"")]"
