"
Lazio","
Torino
"
Starting XI
1,T. Strakosha,[],21,J. Hart,[]
8,D. Basta,[],13,L. Rossettini,[]
26,Ş. Radu,"[('sub-out', ""27'"")]",29,L. De Silvestri,[]
3,S. de Vrij,"[('sub-out', ""46'"")]",24,E. Moretti,[]
2,W. Hoedt,[],23,A. Barreca,[]
19,S. Lulić,[],25,S. Lukić,[]
16,M. Parolo,"[('yellow-card', ""86'"")]",15,M. Benassi,[]
21,S. Milinković-Savić,"[('yellow-card', ""74'"")]",8,D. Baselli,"[('sub-out', ""46'"")]"
10,Felipe Anderson,[],19,J. Iturbe,"[('sub-out', ""74'"")]"
20,L. Biglia,"[('sub-out', ""77'"")]",10,A. Ljajić,"[('yellow-card', ""38'""), ('sub-out', ""64'"")]"
17,C. Immobile,[],9,A. Belotti,[]
