"
Palermo
","
Cagliari
"
Starting XI
68,A. Fulignati,[],1,Rafael,[]
2,R. Vitiello,"[('sub-out', ""80'"")]",29,N. Murru,[]
3,A. Rispoli,[],2,Bruno Alves,[]
97,G. Pezzella,[],19,F. Pisacane,[]
6,E. Goldaniga,[],20,S. Padoin,[]
12,G. González,[],77,P. Tachtsidis ,[]
18,I. Chochev,[],10,João Pedro ,"[('sub-out', ""81'"")]"
14,A. Gazzi,"[('yellow-card', ""5'""), ('sub-out', ""67'"")]",21,A. Ioniţă,[]
25,Bruno Henrique,"[('yellow-card', ""75'""), ('sub-out', ""88'"")]",3,M. Isla,"[('yellow-card', ""16'"")]"
8,A. Trajkovski,"[('yellow-card', ""90'"")]",22,M. Borriello,"[('sub-out', ""90'+"")]"
30,I. Nestorovski,[],25,M. Sau,"[('sub-out', ""86'"")]"
