"
Roma
","
Empoli
"
Starting XI
1,W. Szczęsny,[],28,Ł. Skorupski,[]
44,K. Manolas,[],2,V. Laurini,[]
2,A. Rüdiger,[],21,M. Pasqual,[]
13,Bruno Peres,[],19,F. Barba,"[('sub-out', ""77'"")]"
21,Mário Rui,[],13,F. Veseli,[]
20,F. Fazio,"[('sub-out', ""85'"")]",10,O. El Kaddouri,"[('sub-out', ""73'"")]"
8,D. Perotti,"[('sub-out', ""62'"")]",77,M. Büchel,[]
4,R. Nainggolan,[],33,R. Krunić,"[('yellow-card', ""43'"")]"
5,L. Paredes,[],11,D. Croce,[]
11,Mohamed Salah,[],89,G. Marilungo,"[('sub-out', ""58'"")]"
9,E. Džeko,"[('sub-out', ""73'"")]",27,M. Thiam,[]
