"
Internazionale
","
Milan
"
Starting XI
1,S. Handanovič,"[('yellow-card', ""86'"")]",99,G. Donnarumma,[]
55,Y. Nagatomo,[],96,D. Calabria,"[('sub-out', ""81'"")]"
25,João Miranda,[],13,A. Romagnoli,[]
33,D. D'Ambrosio,[],2,M. De Sciglio,[]
5,R. Gagliardini,"[('yellow-card', ""90'+"")]",17,C. Zapata,[]
6,João Mário,"[('sub-out', ""80'"")]",14,M. Fernández,[]
7,G. Kondogbia,[],23,J. Sosa,"[('sub-out', ""75'"")]"
17,G. Medel,[],33,J. Kucka,"[('yellow-card', ""34'""), ('sub-out', ""57'"")]"
87,A. Candreva,"[('yellow-card', ""37'""), ('sub-out', ""90'+"")]",70,C. Bacca,[]
44,I. Perišić,"[('sub-out', ""68'"")]",7,Deulofeu,[]
9,M. Icardi,[],8,Suso,[]
