"
Napoli","
Udinese
"
Starting XI
25,Pepe Reina,[],1,O. Karnezis,[]
33,Albiol,[],53,Ali Adnan,[]
2,E. Hysaj,[],75,T. Heurtaux,[]
3,I. Strinić,[],5,Danilo,[]
26,K. Koulibaly,[],27,S. Widmer,[]
5,Allan,"[('sub-out', ""71'"")]",23,E. Hallfreðsson,[]
17,M. Hamšík,"[('sub-out', ""79'"")]",14,J. Jankto,"[('sub-out', ""78'"")]"
8,Jorginho,[],10,R. de Paul,"[('sub-out', ""51'"")]"
24,L. Insigne,[],8,E. Agyemang-Badu,"[('yellow-card', ""1'"")]"
14,D. Mertens,"[('sub-out', ""78'"")]",77,C. Théréau,"[('sub-out', ""70'"")]"
7,José Callejón,[],9,D. Zapata,[]
