"
América
","
Atlético Nacional
"
Starting XI
23,M. Muñoz,[],34,F. Armani,[]
12,Pablo Aguilar,"[('yellow-card', ""57'"")]",12,A. Henríquez,"[('yellow-card', ""79'"")]"
18,B. Valdez,[],3,F. Aguilar,[]
6,M. Samudio,[],2,D. Bocanegra,[]
4,E. Pimentel,"[('yellow-card', ""67'"")]",19,F. Díaz,"[('yellow-card', ""65'"")]"
17,V. Alvarado,"[('sub-out', ""46'"")]",8,D. Arias,[]
7,William da Silva,[],10,M. Torres,[]
21,J. Guerrero,[],21,J. Mosquera,[]
14,R. Sambueza,"[('sub-out', ""70'"")]",18,A. Guerra,"[('sub-out', ""78'"")]"
11,M. Arroyo,[],6,M. Uribe,"[('sub-out', ""70'"")]"
9,S. Romero,"[('sub-out', ""59'"")]",28,O. Berrío,"[('yellow-card', ""82'""), ('sub-out', ""89'"")]"
