"
Ghana
","
Mali
"
Starting XI
1,R. Brimah,[],1,O. Sissoko,[]
23,H. Afful,[],23,O. Coulibaly,[]
21,J. Boye,[],2,H. Traoré,[]
18,D. Amartey,[],4,S. Coulibaly,[]
11,M. Wakaso,[],13,M. Wagué,[]
5,T. Partey,[],17,Mamoutou N'Diaye,[]
10,A. Ayew,[],8,Y. Sylla,[]
9,J. Ayew,"[('sub-out', ""90'"")]",14,S. Yatabaré,"[('sub-out', ""46'"")]"
3,A. Gyan,"[('sub-out', ""82'""), ('yellow-card', ""82'"")]",11,B. Sako,[]
7,C. Atsu,[],9,M. Marega,"[('sub-out', ""79'"")]"
22,F. Acheampong,[],7,M. Yatabaré,"[('sub-out', ""63'"")]"
