"
Tigres UANL","
León
"
Starting XI
1,N. Guzmán,[],25,W. Yarbrough,[]
3,Juninho,[],6,D. Novaretti,[]
14,J. Estrada,"[('sub-out', ""88'"")]",5,F. Navarro,"[('sub-out', ""83'"")]"
4,H. Ayala,[],2,E. Velarde,[]
6,Jorge Torres,[],3,G. Burdisso,"[('yellow-card', ""84'"")]"
20,J. Aquino,"[('sub-out', ""90'+"")]",26,C. Valdéz,[]
19,G. Pizarro,"[('yellow-card', ""57'"")]",10,L. Montes,[]
29,J. Dueñas,"[('yellow-card', ""36'"")]",18,M. Moralez,"[('yellow-card', ""42'"")]"
18,I. Sosa,"[('sub-out', ""70'"")]",7,H. Burbano,"[('sub-out', ""75'"")]"
25,J. Damm,[],20,L. López,"[('yellow-card', ""32'""), ('sub-out', ""66'"")]"
10,A. Gignac,"[('yellow-card', ""90'"")]",17,M. Boselli,"[('yellow-card', ""84'"")]"
