"
América","
Necaxa
"
Starting XI
23,M. Muñoz,[],1,M. Barovero,[]
282,E. Álvarez,[],2,B. Beckeles,[]
17,V. Alvarado,[],5,F. Meza,[]
12,Pablo Aguilar,[],26,Jairo González,[]
6,M. Samudio,[],33,M. De Luna,[]
2,P. Goltz,[],11,J. Isijara,[]
7,William da Silva,[],16,M. Iturra,[]
30,R. Ibarra,"[('sub-out', ""77'"")]",7,M. García,"[('sub-out', ""73'"")]"
24,O. Peralta,[],22,E. Puch,[]
31,C. Quintero,"[('sub-out', ""70'"")]",18,F. Gallegos,[]
9,S. Romero,"[('sub-out', ""59'"")]",21,F. Espíndola,"[('sub-out', ""83'"")]"
