"
Guadalajara
","
Pumas
"
Starting XI
30,R. Cota,[],1,Alejandro Palacios,[]
4,J. Pereira,[],4,D. Verón,[]
6,Edwin Hernández,[],3,G. Alcoba,[]
2,O. Alanís,[],2,J. Van Rankin,[]
20,R. Pizarro,[],10,Abraham,[]
23,J. Vázquez,[],17,J. Gallardo,[]
10,E. López,"[('sub-out', ""81'"")]",5,A. Mendoza,"[('yellow-card', ""51'"")]"
7,O. Pineda,[],11,B. Rabello,"[('yellow-card', ""31'"")]"
14,Á. Zaldívar,"[('sub-out', ""68'"")]",7,J. Cortés,[]
17,J. Sánchez,"[('yellow-card', ""66'""), ('sub-out', ""69'"")]",30,N. Castillo,[]
9,A. Pulido,[],8,P. Barrera,[]
