"
Pumas","
Cruz Azul"
Starting XI
1,Alejandro Palacios,[],1,José Corona,[]
4,D. Verón,[],4,J. Domínguez,"[('yellow-card', ""26'"")]"
2,J. Van Rankin,[],2,O. Mendoza,[]
3,G. Alcoba,"[('yellow-card', ""45'""), ('sub-out', ""56'"")]",16,A. Aldrete,[]
5,A. Mendoza,"[('yellow-card', ""76'"")]",6,J. Velázquez,[]
17,J. Gallardo,"[('sub-out', ""84'"")]",8,G. Peñalba,"[('red-card', ""38'"")]"
10,Abraham,[],22,R. Baca,[]
8,P. Barrera,"[('yellow-card', ""70'""), ('sub-out', ""87'"")]",10,C. Giménez,"[('sub-out', ""82'"")]"
7,J. Cortés,[],27,Jorge Benítez,[]
11,B. Rabello,[],13,Á. Mena,[]
30,N. Castillo,"[('yellow-card', ""24'""), ('sec-yellow-card', ""82'"")]",9,J. Rojas,"[('sub-out', ""46'"")]"
