"
Toluca","
América
"
Starting XI
1,A. Talavera,"[('yellow-card', ""87'"")]",1,A. Marchesín,[]
4,P. Da Silva,"[('yellow-card', ""69'"")]",6,M. Samudio,"[('yellow-card', ""35'"")]"
29,Rodrigo Salinas,"[('yellow-card', ""63'"")]",18,B. Valdez,[]
5,O. González,"[('yellow-card', ""22'"")]",2,P. Goltz,[]
2,E. Velarde,[],12,Pablo Aguilar,[]
24,P. Barrientos,"[('yellow-card', ""70'""), ('sub-out', ""72'"")]",7,William da Silva,"[('yellow-card', ""72'"")]"
15,A. Ríos,[],21,J. Guerrero,[]
25,J. Méndez,[],11,M. Arroyo,"[('yellow-card', ""70'""), ('sub-out', ""78'"")]"
26,E. Trejo,"[('sub-out', ""84'"")]",30,R. Ibarra,"[('sub-out', ""80'"")]"
7,Gabriel Hauche,"[('sub-out', ""80'"")]",31,C. Quintero,"[('sub-out', ""46'"")]"
20,F. Uribe,[],24,O. Peralta,"[('yellow-card', ""90'+"")]"
