"
Cruz Azul
","
Monterrey
"
Starting XI
1,José Corona,"[('yellow-card', ""90'+"")]",1,H. González,[]
16,A. Aldrete,[],4,I. Piris,"[('yellow-card', ""90'"")]"
6,J. Velázquez,[],3,C. Montes,"[('yellow-card', ""90'+"")]"
4,J. Domínguez,[],18,L. Fuentes,[]
2,O. Mendoza,"[('sub-out', ""60'"")]",20,W. Ayoví,"[('red-card', ""58'"")]"
22,R. Baca,[],15,J. Basanta,[]
10,C. Giménez,[],21,J. Molina,[]
18,A. Rojas,"[('sub-out', ""46'"")]",13,C. Sánchez,"[('sub-out', ""44'"")]"
9,J. Rojas,"[('sub-out', ""80'"")]",16,C. Ortiz,[]
13,Á. Mena,"[('yellow-card', ""57'"")]",7,Rogelio Funes Mori,"[('sub-out', ""89'"")]"
27,Jorge Benítez,[],8,D. Pabón,"[('sub-out', ""64'"")]"
