"
Morelia","
Toluca
"
Starting XI
1,F. Rodríguez,[],1,A. Talavera,[]
24,G. Achilier,[],5,O. González,[]
15,S. Vegas,[],29,Rodrigo Salinas,"[('yellow-card', ""58'"")]"
2,E. Pérez,"[('yellow-card', ""12'""), ('sub-out', ""81'"")]",2,E. Velarde,[]
17,E. Loeschbor,[],4,P. Da Silva,[]
26,A. Rocha,[],15,A. Ríos,[]
19,D. Valdés,"[('yellow-card', ""53'"")]",19,R. Sambueza,[]
20,R. Millar,"[('sub-out', ""71'"")]",25,J. Méndez,"[('yellow-card', ""27'""), ('sub-out', ""62'"")]"
22,A. Polo,"[('sub-out', ""66'"")]",24,P. Barrientos,[]
23,J. Cuero,[],20,F. Uribe,"[('sub-out', ""90'+"")]"
9,R. Ruidíaz,[],7,Gabriel Hauche,"[('sub-out', ""90'"")]"
